journalId;title;abstract;keywords
11;Cancer prevention: from 1727 to milestones of the past 100 years;The rich, multidisciplinary history of cancer prevention recounted here begins with surgical and workplace recommendations of the 1700s and ends with 2009 results of the enormous (35,535 men) Selenium and Vitamin E [prostate] Cancer Prevention Trial (SELECT). This history comprises a fascinating array of chemopreventive, vaccine, surgical, and behavioral science research, both preclinical and clinical. Preclinical milestones of cancer prevention include the 1913 and 1916 mouse studies by Lathrop and Loeb of cancer development associated with pregnancy or cancer prevention through castration (oophorectomy), preventing chemically induced mouse carcinogenesis as early as 1929, energy restriction studies in the 1940s, the 1950s discoveries and later molecular characterizations of field cancerization and multistep carcinogenesis, and the effects of angiogenesis inhibition in genetically engineered mice reported in 2009. The extraordinary panoply of clinical research includes numerous large and smaller chemopreven ion studies of nutritional supplements, other dietary approaches, a Bacillus Calmette-Guérin trial in 1976, molecular-targeted agents, and agents to prevent infection-related cancers such as hepatitis B virus vaccine to prevent liver cancer in 1984. Clinical surgical prevention includes removal of intraepithelial neoplasia detected by screening (including Pap testing developed in 1929 and culposcopy for cervical premalignancy and colonoscopy and polypectomy to prevent colorectal cancer begun in the 1960s) and prophylactic surgeries, such as in Lynch syndrome patients begun in 1977. Behavioral studies include smoking cessation and control beginning in the 1950s, obesity control rooted in studies of 1841, and genetic-counseling and cancer-survivorship studies. This history of pioneering events may help in better understanding who we are and what we want to achieve as cancer prevention researchers and practitioners.;cancer.
12;Detection of Cancer DNA in Early Stage and Metastatic Breast Cancer Patients;Breast cancer is the leading cause of cancer in women and the second leading cause of cancer-related death. There are many subtypes of breast cancer, which can be identified through the process of molecular and genetic profiling. While the current standard of care utilizes tumor tissue biopsy to subclassify breast cancer, plasma tumor DNA (ptDNA) can be detected through droplet digital PCR (ddPCR) of plasma obtained from a simple blood draw. Tissue biopsy is not only more invasive but because tumors exhibit heterogeneity it can be less accurate. Blood collects DNA shed from normal and cancerous cells alike, thus ddPCR of plasma offers a broader picture of a cancer's genetic makeup. This chapter summarizes how patients with breast cancer can be screened for specific cancerous mutations in both tissue and plasma through the use of ddPCR. Every year, over 230,000 women are diagnosed with breast cancer, and nearly 40,000 die from the disease. It is the most commonly diagnosed cancer in women and the second leading cause of cancerrelated death [1, 2]. Typically, breast cancer is detected via mammography and confirmed through tissue sampling. From here, patients undergo specific therapies targeted toward their class of breast cancer, which is defined principally by the presence or absence of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor receptor 2 (HER-2). Researchers have shown that within these subgroups, there are specific, idiosyncratic mutations, which can be useful for assessing burden of disease, predicting response to therapy, and monitoring the latter in a rapid and minimally invasive approach. These include mutations in PIK3CA, ESR1, TP53, MAP3K1, GATA3, RPTOR, ERBB2, and ERBB3 [3–6]. Current studies of receptor mutations, however, face a significant barrier: they rely on single site biopsy of tumor tissue. This method is problematic because tumors have been shown to exhibit heterogeneity, so sampling a single piece of tissue may miss sites of the specific mutations listed above. This same heterogeneity can exist within metastatic tumors, and furthermore, there has been documented heterogeneity between metastases at different sites of the body, even if the metastases originated from the same primary tumor [7, 8]. In other words, tissue biopsy limits clinicians from seeing the whole genetic picture. In order to circumvent this challenge, researchers can now use droplet digital PCR (ddPCR) on samples of plasma to screen for these same mutations, through a procedure colloquially termed “liquid biopsy.” The body’s blood supply feeds primary tumors as well as metastases, and preliminary research suggests there is no selectivity in terms of which tumor cells’ DNA is deposited into the blood. In fact, normal and cancerous cells deposit into circulation, which makes the bloodstream an effective repository of cellular DNA, cancer and otherwise [9–11]. Thus, circulating blood contains traces of all variations of tumor DNA, which makes plasma tumor DNA (ptDNA) most representative of the varied genetic makeup of cancer cells. Sampling peripheral blood is also much easier than tissue biopsy, and the procedure comes with far fewer risks. There are many burgeoning applications of ddPCR within oncology, and breast cancer is poised to greatly benefit from the approach. The efficacy of ptDNA/ddPCR for detecting PIK3CA mutations in breast cancer has already been demonstrated with 93.3% sensitivity and 100% specificity in a study of 29 patients with early stage breast cancer [12]. It is important to clarify that this approach is specific for plasma, not serum. Research has shown the latter to not be reliable, whereas plasma has reproducible data supporting its efficacy [13, 14]. From identifying specific mutations sensitive to targeted therapy, to monitoring response to treatment, to detecting residual disease, this highly sensitive, cost effective approach offers improvement of breast cancer treatment and forward progress in studying the science behind it. This protocol describes the methodology for using ddPCR to detect tumor DNA in both plasma and primary tumor tissue. ; Biopsy|Blood|Breast cancer|Droplet digital|Liquid biopsy|PCR|PIK3CA|cancer|Plasma.
13;Early epigenetic cancer decisions;Abstract A cancer dogma states that inactivation of oncogene(s) can cause cancer remission, implying that oncogenes are the Achilles' heel of cancers. This current model of cancer has kept oncogenes firmly in focus as therapeutic targets and is in agreement with the fact that in human cancers all cancerous cells, with independence of the cellular heterogeneity existing within the tumour, carry the same oncogenic genetic lesions. However, recent studies of the interactions between an oncogene and its target cell have shown that oncogenes contribute to cancer development via developmental reprogramming of the epigenome within the target cell. These results provide the first evidence that carcinogenesis can be initiated by epigenetic stem cell reprogramming, and uncover a new role for oncogenes in the origin of cancer. Here we analyse these evidences and discuss how this vision offers new avenues for developing novel anti-cancer interventions. Since the discovery that human cancers contain activated oncogenes, many efforts have been made to elucidate the causal role that these oncogenes play in cancer development. These previous works have shown that oncogene expression is not only required for initiation of cancer but also for the maintenance of the disease and have kept oncogenes firmly in focus as therapeutic targets. In mouse models where oncogene expression is driven by tissue-specific promoters, tumours arise at high frequencies, but disappear again when the inducing stimulus is switched off;cancer|tumor.
14;Mapping cancer origins;Cancer comprises a bewildering assortment of diseases that kill 7.5 million people each year. Poor understanding of cancer's diversity currently thwarts our goal of a cure for every patient, but recent integration of genomic and stem cell technologies promises a route through this impasse. Seventy years since the first reported use of cancer chemotherapy, malignancies are the second most common cause of death among children and adults. Why are the headlines rarely punctuated with cancer success stories? One explanation is that while classifying cancers is relatively straightforward, understanding the basis of cancer heterogeneity is complex. Over the years we have become quite proficient at cataloging cancer according to patterns of epidemiology and pathology. Each cancer is recognized to occur at a particular age, more frequently in one sex than another, and have a particular morphology—usually resembling the originating tissue. Advances in imaging and histology have enabled us to further segregate cancer diagnoses into distinct stages and grades that predict different treatment responses and prognoses. Despite this exhaustive work, our attempts to understand the processes that generate the different forms of cancer have proved far less fruitful, hamstringing efforts to advance therapy in the clinic. Failure to determine the biological basis of histologically similar but clinically and molecularly distinct cancers (inter-tumoral heterogeneity) has proved especially limiting: preventing the development of preclinical models of the full spectrum of human cancers, and fostering a clinical trials culture that accepts ‘all comers’ with only the broadest categories of histological criteria to filter eligibility. Our failure to define the origins of cancer subtypes is not for want of trying. However, our relatively crude understanding what drives cancers, coupled with uncertainty about initiating cell types has prevented investigators from making the jump from correlative observation to functional understanding. Recently, a string of publications suggest that the genomic revolution may provide a route through this impasse. Microarray technologies have transformed the depth with which we Our failure to define the origins of cancer subtypes is not for want of trying. However, our relatively crude understanding what drives cancers, coupled with uncertainty about initiating cell types has prevented investigators from making the jump from correlative observation to functional understanding. Recently, a string of publications suggest that the genomic revolution may provide a route through this impasse. Microarray technologies have transformed the depth with which we can interrogate cancers like leukemias (Ross et al., 2004), breast cancers (Sotiriou et al., 2003) and brain tumors (Gibson et al., 2010;cancer
15;Field cancerization in breast cancer;Breast cancer affects one in seven women worldwide during their lifetime. Widespread mammographic screening programs and education campaigns allow for early detection of the disease, often during its asymptomatic phase. Current practice in treatment and recurrence monitoring is based primarily on pathological evaluations but can also encompass genomic evaluations, both of which focus on the primary tumor. Although breast cancer is one of the most studied cancers, patients still recur at a rate of up to 15% within the first 10 years post-surgery. Local recurrence was originally attributed to tumor cells contaminating histologically normal (HN) tissues beyond the surgical margin, but advances in technology have allowed for the identification of distinct aberrations that exist in the peri-tumoral tissues themselves. One leading theory to explain this phenomenon is the field cancerization theory. Under this hypothesis, tumors arise from a field of molecularly altered cells that create a permissive environment for malignant evolution, which can occur with or without morphological changes. The traditional histopathology paradigm dictates that molecular alterations are reflected in the tissue phenotype. However, the spectrum of inter-patient variability of normal breast tissue may obfuscate recognition of a cancerized field during routine diagnostics. In this review, we explore the concept of field cancerization focusing on HN peri-tumoral tissues: we present the pathological and molecular features of field cancerization within these tissues and discuss how the use of peri-tumoral tissues can affect research. Our observations suggest that pathological and molecular evaluations could be used synergistically to assess risk and guide the therapeutic management of patients.;cancer|breast cancer| cancer-adjacent tissues| field cancerization| histologically normal.
16;Signaling, metabolism, and cancer: An important relationship for therapeutic intervention;In cancerous cells, significant changes occur in the activity of signaling pathways affecting a wide range of cellular activities ranging from growth and proliferation to apoptosis, invasiveness, and metastasis. Extensive changes also happen with respect to the metabolism of a cancerous cell encompassing a wide range of functions that include: nutrient acquisition, biosynthesis of macromolecules, and energy generation. These changes are important and some therapeutic approaches for treating cancers have focused on targeting the metabolism of cancerous cells. Oncogenes and tumor suppressor genes have a significant effect on the metabolism of cells. There appears to be a close interaction between metabolism and the signaling pathways in a cancerous cell, in which the interaction provides the metabolic needs of a cancerous cell for uncontrolled proliferation, resistance to apoptosis, and metastasis. In this review, we have reviewed the latest findings in this regard and briefly review the most recent research findings regarding targeting the metabolism of cancer cells as a therapeutic approach for treatment of cancer.;cancer| cancer treatment| metabolism| signaling pathways.
17;Sex differences in cancer risk and outcomes after kidney transplantation;Kidney transplant recipients (KTRs) experience a two- to four-fold increased risk of developing and dying from cancer compared with the general population. High cancer risk results from the interaction of both modifiable and non-modifiable factors. This mapping review explores the impact of sex disparity on cancer's increased incidence and mortality after kidney transplantation (KT). In terms of age, population-based studies indicate that younger recipients of both sexes experience a higher risk of cancer, but this is more pronounced in young women. On the contrary, older men are more likely to be diagnosed with cancer, although their increased risk is not statistically significant compared with the general population. Regarding cancer type, studies show an increased risk of Kaposi sarcoma, gynecologic and lung cancer in women, and bladder and kidney cancer in men. Immune-related cancers such as pos-transplant lymphoproliferative disorders and melanoma are increased in both sexes. Mortality also shows differences between sexes. Although cancer is the second cause of death in both male and female KTRs, studies show higher overall mortality in men and elderly recipients. However, the relative risk of cancer mortality compared with the general population is higher at a younger age, with disparate results regarding sex. Female KTRs appear to die at a younger age than males when compared with the general population. Differences in cancer rates by sex after renal transplantation need further studies. A better understanding of sex-specific differences in cancer epidemiology after KT could help nephrologists to better address pre-transplant counseling, to establish early surveillance programs, and to plan modifiable risk factors such as immunosuppression.;Cancer| Gender| Kidney transplantation| Risk factor| Sex.
18;Cancer--an ayurvedic perspective;An integrated approach is needed to manage cancer using the growing body of knowledge gained through scientific developments. Thousands of herbal and traditional compounds are being screened worldwide to validate their use as anti-cancerous drugs. The science of Ayurveda is supposed to add a step on to the curative aspects of cancers that have resemblance with clinical entities of arbuda and granthi mentioned in Sushrutha samhita. Hence, an attempt is made in this review to discuss about the pathology and therapeutic management of various cancers described in Ayurveda. Review of literature on anticancer drugs of plant origin revealed identification of newer ayurvedic drugs that are not mentioned in the ancient texts. These new findings add up to ayurvedic science that has been developed through ages. In addition, details of experimental and clinical studies conducted on single and compound ayurvedic preparations for their anticancer efficacy strongly emphasize ayurvedic therapy as a scientifically driven one and not simply unconventional.;cancer.
19;Pathophysiology of lung cancer;Cigarette smoking is responsible for approximately 30% of all cancer deaths. Smoking accounts for 85% of lung cancer cases in men and 75% in women. There are about 38 million former cigarette smokers and about 50 million smokers in the United States today. Smoking rates are higher among blacks, blue collar workers, and less educated people. More than 140,000 lives will be lost to cancer each year because of tobacco smoking. All cancers caused by cigarette smoking could be prevented. It is hoped that public education, smoking cessation programs, and efforts to eliminate carcinogens in the work environment will impact the future incidence of new lung cancer cases. As preventive measures continue, refinement in the diagnosis and treatment of cancer must continue to advance. The recognition of any one of cancer's seven warning signals and prompt subsequent action could lead to earlier detection and a chance for 3- and 5-year survival rates to improve. With medical and research progress, clinical concerns have grown beyond addressing only the patient's physical needs to include important issues such as employment and insurance needs and the psychosocial needs of both the patient and the family as they learn to live with cancer.;cancer|lung cancer.
20;The Role of Telomerase in Breast Cancer's Response to Therapy;Currently, breast cancer appears to be the most widespread cancer in the world and the most common cause of cancer deaths. This specific type of cancer affects women in both developed and developing countries. Prevention and early diagnosis are very important factors for good prognosis. A characteristic feature of cancer cells is the ability of unlimited cell division, which makes them immortal. Telomeres, which are shortened with each cell division in normal cells, are rebuilt in cancer cells by the enzyme telomerase, which is expressed in more than 85% of cancers (up to 100% of adenocarcinomas, including breast cancer). Telomerase may have different functions that are related to telomeres or unrelated. It has been shown that high activity of the enzyme in cancer cells is associated with poor cell sensitivity to therapies. Therefore, telomerase has become a potential target for cancer therapies. The low efficacy of therapies has resulted in the search for new combined and more effective therapeutic methods, including the involvement of telomerase inhibitors and telomerase-targeted immunotherapy.;breast cancer|resistance|telomerase|therapy|cancer.
21;Bladder cancer extracellular vesicles drive tumorigenesis by inducing the unfolded protein response in endoplasmic reticulum of nonmalignant cells;The field cancerization effect has been proposed to explain bladder cancer's multifocal and recurrent nature, yet the mechanisms of this effect remain unknown. In this work, using cell biology, flow cytometry, and qPCR analyses, along with a xenograft mouse tumor model, we show that chronic exposure to tumor-derived extracellular vesicles (TEVs) results in the neoplastic transformation of nonmalignant human SV-HUC urothelial cells. Inhibition of EV uptake prevented this transformation. Transformed cells not only possessed several oncogenic properties, such as increased genome instability, loss of cell-cell contact inhibition, and invasiveness, but also displayed altered morphology and cell structures, such as an enlarged cytoplasm with disrupted endoplasmic reticulum (ER) alignment and the accumulation of smaller mitochondria. Exposure of SV-HUC cells to TEVs provoked the unfolded protein response in the endoplasmic reticulum (UPRER). Prolonged induction of UPRER signaling activated the survival branch of the UPRER pathway, in which cells had elevated expression of inositol-requiring enzyme 1 (IRE1), NF-κB, and the inflammatory cytokine leptin, and incurred loss of the pro-apoptotic protein C/EBP homologous protein (CHOP). More importantly, inhibition of ER stress by docosahexaenoic acid prevented TEV-induced transformation. We propose that TEVs promote malignant transformation of predisposed cells by inhibiting pro-apoptotic signals and activating tumor-promoting ER stress-induced unfolded protein response and inflammation. This study provides detailed insight into the mechanisms underlying the bladder cancer field effect and tumor recurrence.; bladder cancer| cell stress| cytokine| endoplasmic reticulum stress (ER stress)| exosome (vesicle)|extracellular vesicles|filed cancerization|inflammation|unfolded protein response (UPR)| urothelial carcinoma|cancer.
22;COVID-19: A Multidisciplinary Review;Severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) is a novel coronavirus that is responsible for the 2019-2020 pandemic. In this comprehensive review, we discuss the current published literature surrounding the SARS-CoV-2 virus. We examine the fundamental concepts including the origin, virology, pathogenesis, clinical manifestations, diagnosis, laboratory, radiology, and histopathologic findings, complications, and treatment. Given that much of the information has been extrapolated from what we know about other coronaviruses including severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), we identify and provide insight into controversies and research gaps for the current pandemic to assist with future research ideas. Finally, we discuss the global response to the coronavirus disease-2019 (COVID-19) pandemic and provide thoughts regarding lessons for future pandemics.;COVID-19| SARS-CoV-2| coronavirus| global health| pandemic|respiratory infection.
23;Pathological sequelae of long-haul COVID;The world continues to contend with successive waves of coronavirus disease 2019 (COVID-19), fueled by the emergence of viral variants. At the same time, persistent, prolonged and often debilitating sequelae are increasingly recognized in convalescent individuals, named 'post-COVID-19 syndrome' or 'long-haul COVID'. Clinical symptomatology includes fatigue, malaise, dyspnea, defects in memory and concentration and a variety of neuropsychiatric syndromes as the major manifestations, and several organ systems can be involved. The underlying pathophysiological mechanisms are poorly understood at present. This Review details organ-specific sequelae of post-COVID-19 syndromes and examines the underlying pathophysiological mechanisms available so far, elaborating on persistent inflammation, induced autoimmunity and putative viral reservoirs. Finally, we propose diagnostic strategies to better understand this heterogeneous disorder that continues to afflict millions of people worldwide.;covid|covid-19.
24;COVID-19: Virology, biology and novel laboratory diagnosis;Background: At the end of December 2019, a novel coronavirus tentatively named SARS-CoV-2 in Wuhan, a central city in China, was announced by the World Health Organization. SARS-CoV-2 is an RNA virus that has become a major public health concern after the outbreak of the Middle East Respiratory Syndrome-CoV (MERS-CoV) and Severe Acute Respiratory Syndrome-CoV (SARS-CoV) in 2002 and 2012, respectively. As of 29 October 2020, the total number of COVID-19 cases had reached over 44 million worldwide, with more than 1.17 million confirmed deaths. Discussion: SARS-CoV-2 infected patients usually present with severe viral pneumonia. Similar to SARS-CoV, the virus enters respiratory tract cells via the angiotensin-converting enzyme receptor 2. The structural proteins play an essential role in budding the virus particles released from different host cells. To date, an approved vaccine or treatment option of a preventive character to avoid severe courses of COVID-19 is still not available. Conclusions: In the present study, we provide a brief review of the general biological features of CoVs and explain the pathogenesis, clinical symptoms and diagnostic approaches regarding monitoring future infectivity and prevent emerging COVID-19 infections.;coronavirus|diagnostic methods|genome structure|pathogenesis.
25;Treatment for COVID-19: An overview;Coronavirus disease 2019 (COVID-19) is an infectious disease caused by coronavirus-2 (SARS-CoV-2) that causes a severe acute respiratory syndrome, a characteristic hyperinflammatory response, vascular damage, microangiopathy, angiogenesis and widespread thrombosis. Four stages of COVID-19 have been identified: the first stage is characterised by upper respiratory tract infection the second by the onset of dyspnoea and pneumonia the third by a worsening clinical scenario dominated by a cytokine storm and the consequent hyperinflammatory state and the fourth by death or recovery. Currently, no treatment can act specifically against the SARS-CoV-2 infection. Based on the pathological features and different clinical phases of COVID-19, particularly in patients with moderate to severe COVID-19, the classes of drugs used are antiviral agents, inflammation inhibitors/antirheumatic drugs, low molecular weight heparins, plasma, and hyperimmune immunoglobulins. During this eme gency period of the COVID-19 outbreak, clinical researchers are using and testing a variety of possible treatments. Based on these premises, this review aims to discuss the most updated pharmacological treatments to effectively act against the SARS-CoV-2 infection and support researchers and clinicians in relation to any current and future developments in curing COVID-19 patients.;Antirheumatic drugs| Antiviral agents| COVID-19| Inflammation inhibitors| Low molecular weight heparins| SARS-CoV-2.
26;A Comprehensive Review of COVID-19 Virology, Vaccines, Variants, and Therapeutics;Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the causative pathogen of the coronavirus disease 2019 (COVID-19), has caused more than 179 million infections and 3.8 million deaths worldwide. Throughout the past year, multiple vaccines have already been developed and used, while some others are in the process of being developed. However, the emergence of new mutant strains of SARS-CoV-2 that have demonstrated immune-evading characteristics and an increase in infective capabilities leads to potential ineffectiveness of the vaccines against these variants. The purpose of this review article is to highlight the current understanding of the immunological mechanisms of the virus and vaccines, as well as to investigate some key variants and mutations of the virus driving the current pandemic and their impacts on current management guidelines. We also discussed new technologies being developed for the prevention, treatment, and detection of SARS-CoV-2. In this paper, we thoroughly reviewed and provided crucial information on SARS-CoV-2 virology, vaccines and drugs being used and developed for its prevention and treatment, as well as important variant strains. Our review paper will be beneficial to health care professionals and researchers so they can have a better understanding of the basic sciences, prevention, and clinical treatment of COVID-19 during the pandemic.; antiviral therapy|coronavirus disease 2019| severe acute respiratory syndrome coronavirus 2| vaccines| variant strains.
27;COVID-19 pandemic: from origins to outcomes. A comprehensive review of viral pathogenesis, clinical manifestations, diagnostic evaluation, and management;Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2), the causative pathogen for the COVID-19, first emerged in Wuhan, China, in December 2019 and by March 2020, it was declared a pandemic. COVID-19 pandemic has overburdened healthcare systems in most countries and has led to massive economic losses. SARS-CoV-2 transmission typically occurs by respiratory droplets. The average incubation period is 6.4 days and presenting symptoms typically include fever, cough, dyspnea, myalgia or fatigue. While the majority of patients tend to have a mild illness, a minority of patients develop severe hypoxia requiring hospitalization and mechanical ventilation. Management is mostly supportive. However, several direct anti-viral agents, and immunomodulatory therapy with steroids and various cytokine blockers seem promising in early results. However, an effective vaccine has been established, which will help curb the pandemic.;Covid - 19|coronavirus
28;Laboratory testing for the diagnosis of COVID-19;Rapid and accurate laboratory diagnosis of active COVID-19 infection is one of the cornerstones of pandemic control. With the myriad of tests available in the market, the use of correct specimen type and laboratory-testing technique in the right clinical scenario could be challenging for non-specialists. In this mini-review, we will discuss the difference in diagnostic performance for different upper and lower respiratory tract specimens, and the role of blood and fecal specimens. We will analyze the performance characteristics of laboratory testing techniques of nucleic acid amplification tests, antigen detection tests, antibody detection tests, and point-of-care tests. Finally, the dynamics of viral replication and antibody production, and laboratory results interpretation in conjunction with clinical scenarios will be discussed.;COVID-19| Coronavirus| Diagnosis| SARS-CoV-2
29;Characteristics of SARS-CoV-2 and COVID-19;Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a highly transmissible and pathogenic coronavirus that emerged in late 2019 and has caused a pandemic of acute respiratory disease, named 'coronavirus disease 2019' (COVID-19), which threatens human health and public safety. In this Review, we describe the basic virology of SARS-CoV-2, including genomic characteristics and receptor use, highlighting its key difference from previously known coronaviruses. We summarize current knowledge of clinical, epidemiological and pathological features of COVID-19, as well as recent progress in animal models and antiviral treatment approaches for SARS-CoV-2 infection. We also discuss the potential wildlife hosts and zoonotic origin of this emerging virus in detail.;Covid - 19 | sar-cov-2
30;Supplementation with vitamin D in the COVID-19 pandemic?;The coronavirus disease 2019 (COVID-19) pandemic was declared a public health emergency of international concern by the World Health Organization. COVID-19 has high transmissibility and could result in acute lung injury in a fraction of patients. By counterbalancing the activity of the renin-angiotensin system, angiotensin-converting enzyme 2, which is the fusion receptor of the virus, plays a protective role against the development of complications of this viral infection. Vitamin D can induce the expression of angiotensin-converting enzyme 2 and regulate the immune system through different mechanisms. Epidemiologic studies of the relationship between vitamin D and various respiratory infections were reviewed and, here, the postulated mechanisms and clinical data supporting the protective role of vitamin D against COVID-19-mediated complications are discussed.; COVID-19|SARS-CoV-2|vitamin D.
31;An overview of internet of things;The internet of things is an emerging technology that is currently present in most processes and devices, allowing to improve the quality of life of people and facilitating the access to specific information and services. The main purpose of the present article is to offer a general overview of internet of things, based on the analysis of recently published work. The added value of this article lies in the analysis of the main recent publications and the diversity of applications of internet of things technology. As a result of the analysis of the current literature, internet of things technology stands out as a facilitator in business and industrial performance but above all in improving the quality of life. As a conclusion to this document, the internet of things is a technology that can overcome the challenges in terms of security, processing capacity and data mobility, as long as the development related to other technologies follows its expected course.; IoT|internet of things.
32;Internet of Things in arable farming: Implementation, applications, challenges and potential;The Internet of Things is allowing agriculture, here specifically arable farming, to become data-driven, leading to more timely and cost-effective production and management of farms, and at the same time reducing their environmental impact. This review is addressing an analytical survey of the current and potential application of Internet of Things in arable farming, where spatial data, highly varying environments, task diversity and mobile devices pose unique challenges to be overcome compared to other agricultural systems. The review contributes an overview of the state of the art of technologies deployed. It provides an outline of the current and potential applications, and discusses the challenges and possible solutions and implementations. Lastly, it presents some future directions for the Internet of Things in arable farming. Current issues such as smart phones, intelligent management of Wireless Sensor Networks, middleware platforms, integrated Farm Management Information Systems across the supply chain, or autonomous vehicles and robotics stand out because of their potential to lead arable farming to smart arable farming. During the implementation, different challenges are encountered, and here interoperability is a key major hurdle throughout all the layers in the architecture of an Internet of Things system, which can be addressed by shared standards and protocols. Challenges such as affordability, device power consumption, network latency, Big Data analysis, data privacy and security, among others, have been identified by the articles reviewed and are discussed in detail. Different solutions to all identified challenges are presented addressing technologies such as machine learning, middleware platforms, or intelligent data management.; IoT|internet of things
33;Internet of things (IoT) and the energy sector;Integration of renewable energy and optimization of energy use are key enablers of sustainable energy transitions and mitigating climate change. Modern technologies such the Internet of Things (IoT) offer a wide number of applications in the energy sector, i.e, in energy supply, transmission and distribution, and demand. IoT can be employed for improving energy efficiency, increasing the share of renewable energy, and reducing environmental impacts of the energy use. This paper reviews the existing literature on the application of IoT in in energy systems, in general, and in the context of smart grids particularly. Furthermore, we discuss enabling technologies of IoT, including cloud computing and different platforms for data analysis. Furthermore, we review challenges of deploying IoT in the energy sector, including privacy and security, with some solutions to these challenges such as blockchain technology. This survey provides energy policy-makers, energy economists, and managers with an overview of the role of IoT in optimization of energy systems.;Internet of things.
34;Blockchain and internet of things in higher education;Building the innovative blockchain-based architecture across the Internet of Things (IoT) platform for the education system could be an enticing mechanism to boost communication efficiency among all participants within the 5G network. Wireless networking would have been the main research area allowing people to communicate without using the wires. It was established at the start of the Internet by retrieving the web pages to connect from one computer to another. Moreover, high-speed, intelligent, powerful networks with numerous contemporary technologies, such as low power consumption, and so on, appear to be available in today's world to connect among each other. The cloud features on physical things under IoT is allowed to store and process IoT and Blockchain data in any situation. One of the complex tasks throughout the area of mobile communications would be to design a new virtualization framework based on blockchain across the Internet of Things architecture. The goal of this research is to connect a new study for an educational system that contains Blockchain to the internet of things or keeping things cryptographically secure on the Internet. This research combines with its improved blockchain and IoT to create an efficient interaction system among students, teachers, employers, developers, facilitators, recruiters, and accreditors on the Internet. This specified framework is detailed research's great estimation.; internet of things
35;Business models for the Internet of Things;The Internet of Things is the connection - via the internet - of objects from the physical world that are equipped with sensors, actuators and communication technology. This technology is looked at by a large variety of domains, such as manufacturing, healthcare and energy, to facilitate the development of new applications and the improvement of existing applications. To also enable the commercial exploitation of these applications, new types of business models must be developed. Frameworks exist to facilitate the development of business models. These frameworks define the building blocks that a business model address. This paper presents a business model framework specifically for Internet of Things applications. Through a literature survey, interviews and a survey among practitioners, it identifies the building blocks that are relevant in an Internet of Things business model, types of options that can be focused on within these building blocks and the relative importance of these building blocks and types. The framework can be used by developers as a starting point for creating business models for Internet of Things applications.;internet of things
36;Machine learning for internet of things data analysis: a survey;Rapid developments in hardware, software, and communication technologies have facilitated the emergence of Internet-connected sensory devices that provide observations and data measurements from the physical world. By 2020, it is estimated that the total number of Internet-connected devices being used will be between 25 and 50 billion. As these numbers grow and technologies become more mature, the volume of data being published will increase. The technology of Internet-connected devices, referred to as Internet of Things (IoT), continues to extend the current Internet by providing connectivity and interactions between the physical and cyber worlds. In addition to an increased volume, the IoT generates big data characterized by its velocity in terms of time and location dependency, with a variety of multiple modalities and varying data quality. Intelligent processing and analysis of this big data are the key to developing smart IoT applications. This article assesses the various machine learning methods that deal with the challenges presented by IoT data by considering smart cities as the main use case. The key contribution of this study is the presentation of a taxonomy of machine learning algorithms explaining how different techniques are applied to the data in order to extract higher level information. The potential and challenges of machine learning for IoT data analytics will also be discussed. A use case of applying a Support Vector Machine (SVM) to Aarhus smart city traffic data is presented for a more detailed exploration.;internet of things.
37;Internet of things and data mining: An application oriented survey;Advancement in the fields of electronic communication, data processing, and internet technologies enable easy access to and interaction with a variety of physical devices throughout the globe. Our whole world is enveloped by a blanket of innumerable smart devices equipped with the sensors and actuators. Extensive research on the Internet of things (IoT) with cloud technologies, make it possible to accumulate tremendous data created from this heterogeneous environment and transform it into precious knowledge by utilizing data mining technologies. Furthermore, this generated knowledge will play a key role in intelligent decision making, system performance boosting, and optimum management of resources and services. With this background, this paper presents a systematic and detailed review of various data mining techniques employed in the large and small scale IoT applications to formulate an intelligent environment. It also presents an overview of cloud-assisted IoT Big data mining system to better understand the importance of data mining for an IoT environment.; internet of things
38;Machine learning and deep learning;Today, intelligent systems that offer artificial intelligence capabilities often rely on machine learning. Machine learning describes the capacity of systems to learn from problem-specific training data to automate the process of analytical model building and solve associated tasks. Deep learning is a machine learning concept based on artificial neural networks. For many applications, deep learning models outperform shallow machine learning models and traditional data analysis approaches. In this article, we summarize the fundamentals of machine learning and deep learning to generate a broader understanding of the methodical underpinning of current intelligent systems. In particular, we provide a conceptual distinction between relevant terms and concepts, explain the process of automated analytical model building through machine learning and deep learning, and discuss the challenges that arise when implementing such intelligent systems in the field of electronic markets and networked business. These naturally go beyond technological aspects and highlight issues in human-machine interaction and artificial intelligence servitization.;machine learning
